(Parent) ASIN,(Child) ASIN,Title,Sessions - Mobile App,Sessions - Browser,Sessions - Total,Session Percentage - Mobile App,Session Percentage - Browser,Session Percentage - Total,Page Views - Mobile App,Page Views - Browser,Page Views - Total,Page Views Percentage - Mobile App,Page Views Percentage - Browser,Page Views Percentage - Total,Featured Offer Percentage,Units Ordered,Unit Session Percentage,Ordered Product Sales,Total Order Items,Date
B003DYQ59U,B003DYQ59U,Nordic Naturals Baby’S DHA Supplement | 1050Mg Omega-3 Fish Oil EPA & DHA + 300 Iu Vitamind3 | Supports Brain Health & Vision | Unflavoured Fish Oil Liquid 60 ml,24,4,28,0.0136,0.0086,0.0126,35,4,39,0.0132,0.0065,0.0119,0.4857,1,0.0357,"₹3,089.00",1,16-05-2025
B015TQ7USO,B015TQ7USO,"Nordic Naturals Ultimate Omega 2X | 2150 Mg Omega 3 Fish Oil Supplement EPA And DHA | Omega 3 For Optimum Wellness & Brain, Heart Health | Omega 3 Lemon Fish Oil For Men And Women | 60 Softgels",12,3,15,0.0068,0.0065,0.0067,22,4,26,0.0083,0.0065,0.0079,0.4545,1,0.0667,"₹7,102.00",1,16-05-2025
B06XPPP4M2,B06XPPP4M2,Nordic Naturals Ultimate Omega 2X | 2150 Mg Omega 3 Fish Oil Supplement EPA And DHA | Omega 3 For Optimum Wellness & Heart Health | Omega 3 Lemon Fish Oil For Men And Women | 120 Softgels,6,1,7,0.0034,0.0022,0.0031,6,1,7,0.0023,0.0016,0.0021,0.8571,1,0.1429,"₹13,424.00",1,16-05-2025
B07FD9R43P,B07FD9R43P,Nordic Naturals Ultimate Omega 3 Fish Oil Softgels | 1280 Mg EPA & DHA Supplement For Men & Women | High-Potency Supplement | Lemon Flavour Fish Oil 180 Softgels,9,2,11,0.0051,0.0043,0.0049,11,2,13,0.0041,0.0032,0.004,0.5385,1,0.0909,"₹10,821.00",1,16-05-2025
B07RHMMVL9,B07RHMMVL9,Nordic Naturals ULTIMATE OMEGA 2X SPORT | 2150mg Omega 3 supplement EPA & DHA Omega 3 Lemon Fish Oil for athletes & active adults 60 SoftGel,2,0,2,0.0011,0,0.0009,5,0,5,0.0019,0,0.0015,1,1,0.5,"₹7,709.00",1,16-05-2025
B084NYD4FW,B084NYD4FW,"Boldify Hair Fibers For Thickening Hair Undetectable & Natural Conceals Hair Loss In 15 Sec - Hair Thickener & Topper For Fine Hair For Women & Men- Medium Brown., 12 Grams",6,2,8,0.0034,0.0043,0.0036,10,4,14,0.0038,0.0065,0.0043,1,1,0.125,"₹1,880.00",1,16-05-2025
B09LYXFWHY,B09LYXFWHY,Pure Tree Certified Organic Elaichi | 100 g | Organic Green Cardamom Whole Spices Hari Chhoti Elaichi Seeds Unique Aroma & Pleasant Flavour,2,0,2,0.0011,0,0.0009,2,0,2,0.0008,0,0.0006,1,1,0.5,₹835.00,1,16-05-2025
B09M3SJBX1,B09M3SJBX1,Pure Tree Certified Organic Dalchini Powder | 100 Gm | Organic Cinnamon Powder | Dal Chini Powder Indian Spices Aroma & Flavour | Gluten Free Cineman Dalchini,4,1,5,0.0023,0.0022,0.0022,9,1,10,0.0034,0.0016,0.0031,1,1,0.2,₹195.00,1,16-05-2025
B09MSCRVJ6,B09MSCRVJ6,Pure Tree Certified Organic Laung | 100 Gm | Organic Cloves Whole | Lavang Whole Spices | Aromatic & Flavorful Clove Seeds Khada Masala | Dried Cloves | Lavangam,2,0,2,0.0011,0,0.0009,3,0,3,0.0011,0,0.0009,1,1,0.5,₹350.00,1,16-05-2025
B09MSCZ2XJ,B09MSCZ2XJ,Pure Tree Certified Organic Dalchini Powder | 250 Gm | Organic Cinnamon Powder | Dal Chini Powder Indian Spices Aroma & Flavour | Gluten Free Cineman Dalchini,6,2,8,0.0034,0.0043,0.0036,11,2,13,0.0041,0.0032,0.004,1,1,0.125,₹280.00,1,16-05-2025
B09RV41KJ4,B09RV41KJ4,Pure Tree Certified Organic Jeera Seeds | 350 g | Cumin Seeds | Sabut Jeera | Jeera Whole Spices | Jeelakarra | Zeera | Organic Spices | Boost Immunity | For Curries & Veg,6,0,6,0.0034,0,0.0027,6,0,6,0.0023,0,0.0018,1,1,0.1667,₹350.00,1,16-05-2025
B09WMZC67J,B09WMZC67J,"Pure Tree Certified Organic Fennel Seeds | 50 Gm | Glass Jar | Saunf, Variyali | Perumjeerakam Whole Spices Sombu Whole | Fennel Seeds Saunf | Organic Saunf Rich Flavour Sombu",2,0,2,0.0011,0,0.0009,2,0,2,0.0008,0,0.0006,1,1,0.5,₹179.00,1,16-05-2025
B09WN192C1,B09WN192C1,Pure Tree Certified Organic Laung | 50 Gm | Glass Jar | Organic Cloves Whole | Lavang Whole Spices | Aromatic & Flavorful Clove Seeds Khada Masala | Dried Cloves | Lavangam,5,0,5,0.0028,0,0.0022,12,0,12,0.0045,0,0.0037,1,1,0.2,₹255.00,1,16-05-2025
B09WN1TFD4,B09WN1TFD4,Pure Tree Certified Organic Methi Dana | 250 g | Glass Jar | Organic Fenugreek Seeds | Methi Seeds Whole Spices | Menthulu Seeds | Vendayam | Rich in Aroma and Flavour,0,1,1,0,0.0022,0.0004,0,1,1,0,0.0016,0.0003,1,1,1,₹231.00,1,16-05-2025
B09WN22JXR,B09WN22JXR,Pure Tree Certified Organic Elaichi | 40 g | Glass Jar | Organic Green Cardamom Whole Spices Hari Chhoti Elaichi Seeds Unique Aroma & Pleasant Flavour,3,0,3,0.0017,0,0.0013,4,0,4,0.0015,0,0.0012,1,1,0.3333,₹455.00,1,16-05-2025
B09WN2SVD6,B09WN2SVD6,Pure Tree Certified Organic Elaichi | 100 g | Glass Jar | Organic Green Cardamom Whole Spices Hari Chhoti Elaichi Seeds Unique Aroma & Pleasant Flavour,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,1,1,₹899.00,1,16-05-2025
B09XXWKTPV,B09XXWKTPV,Pure Tree Certified Organic Kali Mirch Whole | 350 g | Organic Black Pepper Whole | Black Peppercorn | Aromatic Black Pepper Seeds | Miriyalu Whole Spices,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,₹629.00,1,16-05-2025
B09Y22HFW3,B09Y22HFW3,Pure Tree Certified Organic Jowar Millet | 1800g | Unpolished Whole Grain Sorghum,1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,1,1,₹359.00,1,16-05-2025
B09Y23F68L,B09Y23F68L,Pure Tree Certified Organic Moong Split without Skin | 1800 g | Yellow Moong Dal Split | Dhuli Moong Dal | Organic Moong Dal Yellow | Moong Dal Dhuli Plant Based High Protein,3,1,4,0.0017,0.0022,0.0018,5,1,6,0.0019,0.0016,0.0018,1,1,0.25,₹570.00,1,16-05-2025
B0B7BCSXS7,B0B7BCSXS7,"Pure Tree Certified Organic White Jada Poha | 850 g | Thick Poha | Flattened Rice | White Poha | Beaten Rice | Avalakki, Atukulu, Chira, Pohe, Phovu, Chivda | Gluten-Free",2,0,2,0.0011,0,0.0009,3,0,3,0.0011,0,0.0009,1,2,1,₹500.00,1,16-05-2025
B0B7BFL1VS,B0B7BFL1VS,Pure Tree Certified Organic Khapli Whole Wheat | 350g | Sambu Wheat | Emmer Khapli Grain | Desi Gehu Whole Grain,3,0,3,0.0017,0,0.0013,4,0,4,0.0015,0,0.0012,1,1,0.3333,₹199.00,1,16-05-2025
B0B7BGHXJK,B0B7BGHXJK,Pure Tree Certified Organic Ragi Whole | 850g | Finger Millet (Nachni/Nagli) | Gluten-Free Whole Grain,10,6,16,0.0057,0.0129,0.0072,11,6,17,0.0041,0.0097,0.0052,1,1,0.0625,₹208.00,1,16-05-2025
B0B7F3TG7N,B0B7F3TG7N,Pure Tree Certified Organic Sunflower Seeds | 100 g | Surajmukhi ke Beej | Raw Sunflower Seeds | Organic Seeds for Eating Rich In Healthy Fats & Fiber,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,₹198.00,1,16-05-2025
B0B7F3V22C,B0B7F3V22C,Pure Tree Certified Organic Magaj Seeds | 100 g | Watermelon Seeds | Tarbuj Ke Beej | Organic Seeds for Eating Rich in Protein & Fiber | High In Fiber,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,₹280.00,1,16-05-2025
B0BBQJ53K8,B0BBQJ53K8,"Pure Tree Certified Organic Ajwain, Methi Seeds, Saunf | 75 g Each | Carom Seeds, Fenugreek & Fennel Seeds | Organic Spices Whole Seeds Vaamu, Methi dana, Variyali Spice Combo Pack",1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,1,1,₹299.00,1,16-05-2025
B0BBW2N51D,B0BBW2N51D,Pure Tree Certified Organic Wada Kolam Rice | 1800 g | Jhini Rice | Zini Rice | White Rice | Organic Rice | Gluten Free Rice | Kolam Rice Raw | Low Glycemic Rice,3,1,4,0.0017,0.0022,0.0018,6,1,7,0.0023,0.0016,0.0021,1,1,0.25,₹399.00,1,16-05-2025
B0BG2W2JNB,B0BG2W2JNB,"Pure Tree Certified Organic Wheat Daliya lapsi | 850 g | Broken Bulgur Wheat | Godhuma Daliya | Gehoon | For Upma, Porridge, Khichdi",2,2,4,0.0011,0.0043,0.0018,2,3,5,0.0008,0.0048,0.0015,1,1,0.25,₹231.00,1,16-05-2025
B0BG2YT4GG,B0BG2YT4GG,Pure Tree Certified Organic Barley Cereal Grain | 850 g | Raw Jau Grain | Whole Barley | Low Glycemic Index | Barly Seeds Pearl Barley Seeds,3,1,4,0.0017,0.0022,0.0018,12,1,13,0.0045,0.0016,0.004,1,1,0.25,₹230.00,1,16-05-2025
B0BMX93SHN,B0BMX93SHN,"Pure Tree Certified Organic Red Poha | 850 g | Red Aval | Red Rice Flakes | Red Rice Poha | Flattened Rice | Beaten Rice | Avalakki, Atukulu, Chira, Pohe, Phovu, Chivda | Gluten-Free",11,0,11,0.0062,0,0.0049,16,0,16,0.006,0,0.0049,1,1,0.0909,₹263.00,1,16-05-2025
B0BTCZNRPM,B0BTCZNRPM,"Pure Tree Certified Organic Amchur Powder | 200 g | Glass Jar | Dry Mango Powder | Amchoor Powder For Chutney, Pickle, and Fruit Salad",0,1,1,0,0.0022,0.0004,0,3,3,0,0.0048,0.0009,1,1,1,₹255.00,1,16-05-2025
B0BTD27WQP,B0BTD27WQP,"Pure Tree Certified Organic Amchur Powder | 100 g | Dry Mango Powder | Amchoor Powder For Chutney, Pickle, and Fruit Salad",2,2,4,0.0011,0.0043,0.0018,3,4,7,0.0011,0.0065,0.0021,1,1,0.25,₹173.00,1,16-05-2025
B0BY4JS7Q6,B0BY4JS7Q6,Pure Tree Certified Organic Rajgira | 850 g | Amaranth Millet | Ramdana Seed | Cholai Dana Amaranth Seeds Whole | Rajgira Seeds Organic MIllets - Gluten Free,1,0,1,0.0006,0,0.0004,2,0,2,0.0008,0,0.0006,1,1,1,₹435.00,1,16-05-2025
B0BY4K5YY7,B0BY4K5YY7,Pure Tree Certified Organic Black Cardamom Whole | 100 g | Badi Elaichi Indian Spice | Moti Elaichi Organic Adds Aroma and Flavour | Cardamom Elaichi Whole,10,1,11,0.0057,0.0022,0.0049,12,1,13,0.0045,0.0016,0.004,1,1,0.0909,₹575.00,1,16-05-2025
B0C749QXD1,B0C749QXD1,Pure Tree Certified Organic Indrayani Rice (White) | 1.8 Kg / 1800 g | Indrani Chawal | White Rice | Raw Rice Gluten Free Low Glycemic & Calorie,4,2,6,0.0023,0.0043,0.0027,7,3,10,0.0026,0.0048,0.0031,1,1,0.1667,₹420.00,1,16-05-2025
B0C74B25FY,B0C74B25FY,"Pure Tree Certified Organic Lokwan Whole Wheat | 1.8 Kg / 1800 g | Golden Grain | Organic Wheat Whole Grain | Gehu Whole Wheat Thick and Heavy Grain For Chapatti, Roti & Paratha",1,0,1,0.0006,0,0.0004,2,0,2,0.0008,0,0.0006,1,1,1,₹399.00,1,16-05-2025
B0CV9JYX1D,B0CV9JYX1D,Pure Tree Certified Organic Saunf Powder|250 Gram|Fennel Seed Powder Organic|Variyali Powder|Sompu Powder|Saunf Powder Gluten Free & Flavourful,0,2,2,0,0.0043,0.0009,0,3,3,0,0.0048,0.0009,1,1,0.5,₹273.00,1,16-05-2025
B0CX577XNJ,B0CX577XNJ,Pure Tree Certified Organic Jeera Seeds | 850 g | Cumin Seeds | Sabut Jeera | Jeera Whole Spices | Jeelakarra | Zeera | Organic Spices | Boost Immunity | For Curries & Veg,0,4,4,0,0.0086,0.0018,0,5,5,0,0.0081,0.0015,1,1,0.25,₹720.00,1,16-05-2025
B0D1QJ43NJ,B0D1QJ43NJ,Pure Tree Certified Organic Kashmiri Red Chilli Powder | 350 g | Kashmiri Lal Mirch Powder | Organic Red Chilli Powder | Kashmiri Laal Mirch gives Vibrant Red Color & Mild Heat to your dishes,2,1,3,0.0011,0.0022,0.0013,2,1,3,0.0008,0.0016,0.0009,1,1,0.3333,₹750.00,1,16-05-2025
B0D3PRBZNJ,B0D3PRBZNJ,"Pure Tree Glass Water Bottle | Blue H2O Yellow 500 ml | Swing Flip Top Cap | Airtight Lid | Bottles Set For Fridge, Juice, Milk, Smoothies, Soda | Pack Of 2",53,7,60,0.03,0.0151,0.0269,65,7,72,0.0245,0.0113,0.022,1,1,0.0167,₹449.00,1,16-05-2025
B0D44YWTK5,B0D44YWTK5,"Pure Tree Certified Organic Barnyard Millet Flour | 850 g | Bhagar For Fasting, Sanwa, Jhangora | Unpolished Millets Gluten-Free Samak Rice Kuthiraivali Millet | Sama Rice Millet Whole Grains Flour",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,₹299.00,1,16-05-2025
B0DPMTZ7K8,B0DPMTZ7K8,"Pure Tree Certified Organic Ajwain Powder | Carom Seed Powder | Ajavain | Omam Powder Gluten-Free | Vamu Seeds | Ajowan | Ayamodakam Seeds Rich In Antioxidants, 100 gram",1,1,2,0.0006,0.0022,0.0009,1,1,2,0.0004,0.0016,0.0006,1,1,0.5,₹169.00,1,16-05-2025
B0DPMWKQXN,B0DPMWKQXN,"Pure Tree Certified Organic Ajwain Powder | Carom Seed Powder | Ajavain | Omam Powder Gluten-Free | Vamu Seeds | Ajowan | Ayamodakam Seeds Rich In Antioxidants, 200 gram",4,1,5,0.0023,0.0022,0.0022,4,1,5,0.0015,0.0016,0.0015,1,1,0.2,₹220.00,1,16-05-2025
B0DTHVKBVQ,B0DTHVKBVQ,Pure Tree Certified Organic Khapli Whole Wheat | 5 Kg | Sambu Wheat | Emmer Khapli Grain | Desi Gehu Whole Grain,1,5,6,0.0006,0.0108,0.0027,1,5,6,0.0004,0.0081,0.0018,0.8,1,0.1667,"₹1,225.00",1,16-05-2025
B0DTJ2V2Y2,B0DTJ2V2Y2,Pure Tree Certified Organic Wheat MP Sehori | 5 kg | Sharbati Wheat Whole | Wheat Sihore Gehu | Gehu Whole Wheat Grains | Whole Wheat Organic MP Sharbati Wheat,4,2,6,0.0023,0.0043,0.0027,6,2,8,0.0023,0.0032,0.0024,1,1,0.1667,₹799.00,1,16-05-2025
B0DZHD5X9D,B0DZHD5X9D,"Pure Tree Blue Aqua Glass Bottle1000 ml | Swing Flip Top Cap | Airtight Lid | Bottles Set For Fridge, Juice, Milk, Smoothies, Soda | Swing Flip Top Cap | Pack Of 1",10,1,11,0.0057,0.0022,0.0049,11,3,14,0.0041,0.0048,0.0043,1,1,0.0909,₹299.00,1,16-05-2025
B0006GZE1S,B0006GZE1S,Nordic Naturals DHA | 830 Mg Omega-3 Fish Oil For Men & Women High-Intensity DHA Formula | EPA & DHA Supplement For Brain Health & Nervous System Support Strawberry Flavour Fish Oil 90 Softgels,3,1,4,0.0017,0.0022,0.0018,6,1,7,0.0023,0.0016,0.0021,1,0,0,₹0.00,0,16-05-2025
B000H3VC0W,B000H3VC0W,Nordic Naturals Children’S DHA For Omega 3 | Fish Oil For Kids 250 Mg From Arctic Cod Liver Oil | Omega 3 EPA & DHA For Kids 3-6 Yrs| Brain Development & Immunity Strawberry Fish Oil 90 Mini Softgels,12,2,14,0.0068,0.0043,0.0063,17,2,19,0.0064,0.0032,0.0058,1,0,0,₹0.00,0,16-05-2025
B000VKT35C,B000VKT35C,"Nordic Naturals Arctic Cod Liver Oil | 1060 Mg Omega 3 Fish Oil EPA & DHA Supplement | Omega 3 Cod Liver Oil Liquid For Heart, Brain Health, Optimal Wellness Flavour Strawberry Fish Oil 8Fl Oz(237 Ml)",6,1,7,0.0034,0.0022,0.0031,11,1,12,0.0041,0.0016,0.0037,1,0,0,₹0.00,0,16-05-2025
B000X2F9P6,B000X2F9P6,"Nordic Naturals Pet Cod Liver Oil, Unflavored - 8 oz - 1104 mg Omega-3 Per Teaspoon - Fish Oil for Dogs with EPA & DHA - Promotes Skin, Coat, & Immune Health",0,1,1,0,0.0022,0.0004,0,1,1,0,0.0016,0.0003,1,0,0,₹0.00,0,16-05-2025
B002CQU4YW,B002CQU4YW,"Nordic Naturals EPA | 1210 Mg Omega-3 Fish Oil With EPA & DHA Supplement | High-Intensity 3 EPA Supplement | Promotes Mood, Heart Health & Immune Function | Lemon Fish Oil Flavour 60 Soft Gels",0,5,5,0,0.0108,0.0022,0,5,5,0,0.0081,0.0015,0.6,0,0,₹0.00,0,16-05-2025
B002CQU4Z6,B002CQU4Z6,"Nordic Naturals EPA Xtra | 1640 Mg Omega-3 Fish Oil With EPA & DHA Supplement | High-Intensity Omega EPA Supplement | Promotes Mood, Heart Health & Immune Function | 60 Lemon Flavour Fish Oil Softgels",2,0,2,0.0011,0,0.0009,2,0,2,0.0008,0,0.0006,1,0,0,₹0.00,0,16-05-2025
B002CQU50U,B002CQU50U,Nordic Naturals Omega Woman | 500 Mg Omega-3 Fish Oil Omega 6 GLA & 800 Mg Evening Primrose Oil | Omega 3 For Women Supports Radiant Skin & Hormonal Balance | Fish Oil Lemon Flavour 120 Softgels,6,0,6,0.0034,0,0.0027,9,0,9,0.0034,0,0.0027,0.8571,0,0,₹0.00,0,16-05-2025
B002CQU52I,B002CQU52I,"Nordic Naturals Cholesterol Support Omega Ldl & Triglycerides | 975Mg Omega 3 EPA & Dha+Red Yeast Rice CoQ10 Fish Oil Supports Heart Health, Ldl Cholesterol & Antioxidant | Lemon Fish Oil 60 Softgels",2,0,2,0.0011,0,0.0009,4,0,4,0.0015,0,0.0012,1,0,0,₹0.00,0,16-05-2025
B002CQU532,B002CQU532,Nordic Naturals Ultimate Omega + CoQ10 Supplement | 1280 Mg Omega 3 Fish Oil & Ubiquinol CoQ10 100Mg | Coenzyme Q10 For Cardiovascular Health & Antioxidant Support | Lemon Fish Oil Flavour 60 Softgel,10,3,13,0.0057,0.0065,0.0058,21,4,25,0.0079,0.0065,0.0076,0.4444,0,0,₹0.00,0,16-05-2025
B002CQU53C,B002CQU53C,Nordic Naturals Children’S DHA For Omega 3 | Fish Oil For Kids 250Mg From Arctic Cod Liver Oil | Omega 3 EPA & DHA For Kids 3-6 Yrs| Brain Development & Immunity Strawberry Fish Oil 360 Mini Softgels,1,0,1,0.0006,0,0.0004,2,0,2,0.0008,0,0.0006,1,0,0,₹0.00,0,16-05-2025
B002CQU546,B002CQU546,"Nordic Naturals Complete Omega 3 Fish Oil Supplement | 565 Mg Omega 3 Fish Oil | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Lemon Fish Oil 120 Fish Oil Softgel",4,0,4,0.0023,0,0.0018,7,0,7,0.0026,0,0.0021,1,0,0,₹0.00,0,16-05-2025
B002CQU55A,B002CQU55A,Nordic Naturals DHA | 830 Mg Omega-3 Fish Oil For Men & Women High-Intensity DHA Formula | EPA & DHA Supplement For Brain Health & Nervous System Support Strawberry Flavour Fish Oil 180 Softgels,3,0,3,0.0017,0,0.0013,5,0,5,0.0019,0,0.0015,1,0,0,₹0.00,0,16-05-2025
B002CQU55K,B002CQU55K,"Nordic Naturals Omega 3 Fish Oil EPA And DHA|690Mg Omega 3 Fish Oil Support Brain, Heart Health & Immunity|Omega Fish Oil For Men & Women Lemon Fish Oil Flavour, 2 count, 180 capsules",5,2,7,0.0028,0.0043,0.0031,5,2,7,0.0019,0.0032,0.0021,0.8571,0,0,₹0.00,0,16-05-2025
B002CQU55U,B002CQU55U,"Nordic Naturals Complete Omega 3 Fish Oil Supplement | 565 Mg Omega 3 Fish Oil | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Lemon Fish Oil 180 Fish Oil Softgel",1,0,1,0.0006,0,0.0004,1,0,1,0.0004,0,0.0003,1,0,0,₹0.00,0,16-05-2025
B002CQU58M,B002CQU58M,Nordic Naturals Omega 3 Fish Oil In Fish Gelatin Softgels | 690 Mg Omega 3 Fish Oil With EPA & DHA Supplement | Omega 3 Supplement For Pescatarian & Restricted Diets | 60 Fish Oil Lemon Softgels,29,7,36,0.0164,0.0151,0.0161,49,7,56,0.0184,0.0113,0.0171,0.1915,0,0,₹0.00,0,16-05-2025
B002CQU58W,B002CQU58W,"Nordic Naturals Omega 3 Pet Supplement | 330 mg Omega 3 Dog Skin and Coat Supplement | Fish Oil for Dogs with EPA & DHA | Promotes Heart, Skin, Coat, Joint, & Immune Health - Unflavored 90 Soft Gels",5,2,7,0.0028,0.0043,0.0031,6,2,8,0.0023,0.0032,0.0024,1,0,0,₹0.00,0,16-05-2025
B002CQU59Q,B002CQU59Q,"Nordic Naturals Arctic Cod Liver Oil|750 Mg Omega 3 Fish Oil Epa & Dha Supplement|Omega 3 Cod Liver Oil Liquid For Heart,Brain Health & Optimal Wellness|Flavour Lemon Fish Oil,1 Count,180 Capsule",7,5,12,0.004,0.0108,0.0054,7,7,14,0.0026,0.0113,0.0043,0.8182,0,0,₹0.00,0,16-05-2025
B002SRWLJQ,B002SRWLJQ,Daggett & Ramsdell Cover Your Gray Daggett & Ramsdell Color Stick Instant Hair Color Touch Up 12.5G/0.44Oz - Jet Black,8,2,10,0.0045,0.0043,0.0045,8,3,11,0.003,0.0048,0.0034,1,0,0,₹0.00,0,16-05-2025
B002WTCLG8,B002WTCLG8,Nordic Naturals Ultimate Omega 3 Fish Oil Liquid | High Potency Omega 3 Fatty Acids Supplement For Men & Women | 2840 Mg Omega 3 Fish Oil EPA & DHA | Promotes Brain & Heart Health | Lemon Flavour 4 Oz,17,4,21,0.0096,0.0086,0.0094,28,6,34,0.0105,0.0097,0.0104,1,0,0,₹0.00,0,16-05-2025
B002WTCLHC,B002WTCLHC,"Nordic Naturals Omega 3 Liquid | 1560 Mg Omega 3 Fatty Acid | Sardine Fish Oil Syrup With EPA & DHA Supplement For Heart, Brain Health & Immune Support | Fish Oil Lemon Flavour 16 Floz 473 ml",8,0,8,0.0045,0,0.0036,10,0,10,0.0038,0,0.0031,0.2222,0,0,₹0.00,0,16-05-2025
B002WTCLI6,B002WTCLI6,"Nordic Naturals Complete Omega 3 Fish Oil Supplement | 1270 Mg Omega 3 Fish Oil | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Lemon Fish Oil Syrup 16 Fl Oz (473 ml)",0,2,2,0,0.0043,0.0009,0,2,2,0,0.0032,0.0006,1,0,0,₹0.00,0,16-05-2025
B002WTCLIQ,B002WTCLIQ,Nordic Naturals Ultimate Omega 3 Fish Oil Liquid | High Potency Omega 3 Fatty Acids Supplement For Men & Women | 2840 Mg EPA & DHA | Promotes Brain & Heart Health | Lemon Flavour 8 Oz,10,6,16,0.0057,0.0129,0.0072,16,6,22,0.006,0.0097,0.0067,1,0,0,₹0.00,0,16-05-2025
B002WTCLJA,B002WTCLJA,"Nordic Naturals Arctic Cod Liver Oil | 1060 Mg Omega 3 Fish Oil EPA & DHA Supplement | Omega 3 Cod Liver Oil Liquid For Heart, Brain Health & Optimal Wellness | Unflavoured Fish Oil 8 Fl Oz (237 Ml)",4,2,6,0.0023,0.0043,0.0027,13,3,16,0.0049,0.0048,0.0049,0.3333,0,0,₹0.00,0,16-05-2025
B002WTCM3K,B002WTCM3K,"Nordic Naturals Arctic Cod Liver Oil | 1060 Mg Omega 3 Fish Oil EPA & DHA Supplement | Omega 3 Cod Liver Oil Liquid For Heart, Brain Health & Optimal Wellness Flavour Orange Fish Oil 16 Fl Oz(473 Ml)",3,2,5,0.0017,0.0043,0.0022,3,4,7,0.0011,0.0065,0.0021,0.6667,0,0,₹0.00,0,16-05-2025
B002WTCM76,B002WTCM76,"Nordic Naturals Arctic Cod Liver Oil | 1060 Mg Omega 3 Fish Oil EPA & DHA Supplement | Omega 3 Cod Liver Oil Liquid For Heart, Brain Health & Optimal Wellness | Flavour Lemon Fish Oil 8 Fl Oz (237 Ml)",1,0,1,0.0006,0,0.0004,3,0,3,0.0011,0,0.0009,0,0,0,₹0.00,0,16-05-2025
B004GEWJVE,B004GEWJVE,Nordic Naturals Ultimate Omega 3 Fish Oil In Fish Gelatin | 1280Mg EPA & DHA Supplement | Omega 3 Supplement For Pescatarian & Restricted Diets | 60 Fish Oil Lemon Flavour Softgel,31,8,39,0.0176,0.0172,0.0175,51,12,63,0.0192,0.0194,0.0192,0.4783,0,0,₹0.00,0,16-05-2025
B004O8I7JA,B004O8I7JA,Nordic Naturals DHA Xtra | 1660 Mg Omega-3 Fish Oil | High-Intensity DHA Formula | EPA & DHA Supplement For Brain Health & Nervous System Support Strawberry Flavour Fish Oil 60 Softgels,12,4,16,0.0068,0.0086,0.0072,24,6,30,0.009,0.0097,0.0092,0.28,0,0,₹0.00,0,16-05-2025
B004T7DYOO,B004T7DYOO,Nordic Naturals Children’S DHA For Omega 3 | Fish Oil For Kids 530 Mg From Arctic Cod | Omega 3 DHA For Kids With EPA For Healthy Brain Development & Immune Function | Strawberry Flavour | 473 Ml,12,4,16,0.0068,0.0086,0.0072,20,8,28,0.0075,0.0129,0.0085,1,0,0,₹0.00,0,16-05-2025
B00537E45W,B00537E45W,"Nordic Naturals Complete Omega Junior | 283 Mg Omega 3 Fish Oil For Kids | EPA & DHA Supplement With Gla, Oa | Omega 3 6 9 Dietary Supplement | Lemon Flavour | 180 Mini Softgel",8,0,8,0.0045,0,0.0036,14,0,14,0.0053,0,0.0043,1,0,0,₹0.00,0,16-05-2025
B0058ABILW,B0058ABILW,Nordic Naturals Prenatal DHA Supplement 830Mg Omega 3 Fish Oil+400 Iu VitaminD3 For Babies During Pregnancy & Lactation Vitamins For Pregnancy | Unflavoured 90 Fishoil Softgel,15,5,20,0.0085,0.0108,0.009,36,6,42,0.0135,0.0097,0.0128,1,0,0,₹0.00,0,16-05-2025
B0093ABMOQ,B0093ABMOQ,Nordic Naturals Zero Sugar Omega 3 Fishies | Fish Oil For Kids 300 Mg Omega 3 Gummies EPA & DHA For Kids | Supports Brain Development Kids Ages 3+ Yrs | Tutti Frutti Fish Oil Supplement 36 Gummy Chew,3,0,3,0.0017,0,0.0013,3,0,3,0.0011,0,0.0009,0.6667,0,0,₹0.00,0,16-05-2025
B0096M5PBW,B0096M5PBW,"Nordic Naturals Omega 3 Liquid|1560 Mg Omega 3 Fatty Acid|Sardine Fish Oil Syrup With EPA & DHA Supplement For Heart,Brain Health & Immune Support|Fish Oil Lemon Flavour 8 Floz 237 ml, 0.4 grams",6,1,7,0.0034,0.0022,0.0031,12,1,13,0.0045,0.0016,0.004,1,0,0,₹0.00,0,16-05-2025
B009K8EAMC,B009K8EAMC,"Nordic Naturals Complete Omega Xtra Fish Oil Supplement | 1360 Mg Omega 3 Fish Oil | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Lemon Fish Oil 60 Fish Oil Softgel",1,0,1,0.0006,0,0.0004,6,0,6,0.0023,0,0.0018,1,0,0,₹0.00,0,16-05-2025
