"ID","SKU","Title","Rack Id","Quantity","Expiry Date","MRP","isFBA"
"176641","PT0046-000350BP","Cassia Cinnamon Bark (Dalchini) | 350 g | Brown Pouch","CCX1","1","-","399.00","1"
"168636","PT0047","Sorghum Millet, Jowar","M11","109000","-","54.70",""
"168636","PT0047","Sorghum Millet, Jowar","M13","42350","-","54.70",""
"176527","PT0047-000850BP","Sorghum Millet (Jowar) | 850 g | Brown Pouch","BOM5","1","-","355.00","1"
"176527","PT0047-000850BP","Sorghum Millet (Jowar) | 850 g | Brown Pouch","MAA4","9","-","355.00","1"
"176527","PT0047-000850BP","Sorghum Millet (Jowar) | 850 g | Brown Pouch","WT","1","-","355.00","1"
"173401","PT0047-001800BP","Sorghum Millet (Jowar) | 1800 g | Brown Pouch","BOM5","1","08/31/2024","469.00","1"
"173401","PT0047-001800BP","Sorghum Millet (Jowar) | 1800 g | Brown Pouch","BOM7","2","08/31/2024","469.00","1"
"173401","PT0047-001800BP","Sorghum Millet (Jowar) | 1800 g | Brown Pouch","CCX1","1","08/31/2024","469.00","1"
"173401","PT0047-001800BP","Sorghum Millet (Jowar) | 1800 g | Brown Pouch","CCX2","1","08/31/2024","469.00","1"
"173401","PT0047-001800BP","Sorghum Millet (Jowar) | 1800 g | Brown Pouch","GAX1","1","08/31/2024","469.00","1"
"173401","PT0047-001800BP","Sorghum Millet (Jowar) | 1800 g | Brown Pouch","LKO1","1","08/31/2024","469.00","1"
"173401","PT0047-001800BP","Sorghum Millet (Jowar) | 1800 g | Brown Pouch","MAA4","1","08/31/2024","469.00","1"
"168637","PT0048","Chana Dal","M12","60000","-","103.51",""
"168637","PT0048","Chana Dal","M13","4380","-","103.51",""
"176528","PT0048-000850BP","Chana Dal | 850 g | Brown Pouch","TW","15","-","399.00","1"
"171978","PT0049","Black Peppercorn, Kali Mirch Whole","M11","12500","-","843.51",""
"169507","PT0049-000065GB","Black Peppercorn (Kali Mirch Whole) | 65 g | Glass Bottle","CJB1","2","06/30/2024","299.00","1"
"169507","PT0049-000065GB","Black Peppercorn (Kali Mirch Whole) | 65 g | Glass Bottle","MAA4","1","06/30/2024","299.00","1"
"169507","PT0049-000065GB","Black Peppercorn (Kali Mirch Whole) | 65 g | Glass Bottle","TW","5","-","299.00","1"
"169509","PT0049-000100BP","Black Peppercorn (Kali Mirch Whole) | 100 g | Brown Pouch","TW","10","-","350.00","1"
"169508","PT0049-000175GB","Black Peppercorn (Kali Mirch Whole) | 175 g | Glass Bottle","TW","10","-","499.00","1"
"171979","PT0050","Wheat, MP Sehori","M11","175150","-","53.53",""
"176529","PT0050-000850BP","Wheat (MP Sehori) | 850 g | Brown Pouch","BLR7","1","-","325.00","1"
"176529","PT0050-000850BP","Wheat (MP Sehori) | 850 g | Brown Pouch","BLR8","4","-","325.00","1"
"176529","PT0050-000850BP","Wheat (MP Sehori) | 850 g | Brown Pouch","TW","10","-","325.00","1"
"173790","PT0050-000900BP","Wheat (MP Sehori) | 900 g | Brown Pouch","R13","1","-","325.00",""
"170413","PT0050-001800BP","Wheat (MP Sehori) | 1800 g | Brown Pouch","BLR7","5","02/27/2025","569.00","1"
"170413","PT0050-001800BP","Wheat (MP Sehori) | 1800 g | Brown Pouch","BOM5","4","02/27/2025","569.00","1"
"170413","PT0050-001800BP","Wheat (MP Sehori) | 1800 g | Brown Pouch","DED4","8","02/27/2025","569.00","1"
"170413","PT0050-001800BP","Wheat (MP Sehori) | 1800 g | Brown Pouch","DEL4","1","02/27/2025","569.00","1"
"170413","PT0050-001800BP","Wheat (MP Sehori) | 1800 g | Brown Pouch","DEL5","5","02/27/2025","569.00","1"
"171980","PT0051","Wheat, Khapli","M11","323550","-","117.50",""
"176643","PT0051-000350BP","Wheat (Khapli) | 350 g | Brown Pouch","BLR8","13","-","259.00","1"
"176643","PT0051-000350BP","Wheat (Khapli) | 350 g | Brown Pouch","BOM5","1","-","259.00","1"
"176530","PT0051-000850BP","Wheat (Khapli) | 850 g | Brown Pouch","BOM5","14","-","499.00","1"
"176530","PT0051-000850BP","Wheat (Khapli) | 850 g | Brown Pouch","CCX2","5","-","499.00","1"
"176530","PT0051-000850BP","Wheat (Khapli) | 850 g | Brown Pouch","CJB1","1","-","499.00","1"
"176530","PT0051-000850BP","Wheat (Khapli) | 850 g | Brown Pouch","MAA4","1","-","499.00","1"
"170416","PT0051-000900BP","Wheat (Khapli) | 900 g | Brown Pouch","N11","4","-","499.00",""
"176601","PT0051-001800BP","Wheat (Khapli) | 1800 g | Brown Pouch","BLR7","2","-","690.00","1"
"176601","PT0051-001800BP","Wheat (Khapli) | 1800 g | Brown Pouch","BLR8","1","-","690.00","1"
"176601","PT0051-001800BP","Wheat (Khapli) | 1800 g | Brown Pouch","BOM5","1","-","690.00","1"
"176601","PT0051-001800BP","Wheat (Khapli) | 1800 g | Brown Pouch","CCX2","1","-","690.00","1"
"176601","PT0051-001800BP","Wheat (Khapli) | 1800 g | Brown Pouch","CJB1","3","-","690.00","1"
"176601","PT0051-001800BP","Wheat (Khapli) | 1800 g | Brown Pouch","DED4","8","-","690.00","1"
"176601","PT0051-001800BP","Wheat (Khapli) | 1800 g | Brown Pouch","DEL4","10","-","690.00","1"
"176601","PT0051-001800BP","Wheat (Khapli) | 1800 g | Brown Pouch","DEL5","1","-","690.00","1"
"176601","PT0051-001800BP","Wheat (Khapli) | 1800 g | Brown Pouch","HYD3","1","-","690.00","1"
"176601","PT0051-001800BP","Wheat (Khapli) | 1800 g | Brown Pouch","PNQ3","1","-","690.00","1"
"173807","PT0051-001900BP","Wheat (Khapli) | 1900 g | Brown Pouch","R11","1","-","690.00",""
"171981","PT0052","Masoor Whole, Red Lentil","M11","29200","-","99.25",""
"171981","PT0052","Masoor Whole, Red Lentil","M17","29000","-","99.25",""
"176531","PT0052-000850BP","Masoor Whole (Red Lentil) | 850 g | Brown Pouch","TW","20","-","395.00","1"
"171982","PT0053","White Peas Whole, Safed Matar","M11","300","-","118.68",""
"171982","PT0053","White Peas Whole, Safed Matar","M12","100","-","118.68",""
